ds	yhat	yhat_lower	yhat_upper
2007-12-10 00:00:00	0.8664509468392658	0.8493625067426256	0.8841985958856534
2007-12-11 00:00:00	0.89339563427589	0.8754539159551042	0.9101315017894475
2007-12-12 00:00:00	0.9194339582364247	0.9020529908440601	0.9374151154137391
2007-12-13 00:00:00	0.9445150776403985	0.9280951530675525	0.9623408064162124
2007-12-14 00:00:00	0.9702411164176917	0.9521300277108303	0.9889209542446741
2007-12-15 00:00:00	0.99691639474805	0.9802337785724189	1.0139513299525034
2007-12-16 00:00:00	1.0226760944750442	1.0047200252085855	1.041068659395449
2007-12-17 00:00:00	0.9942466101436006	0.9762183534089247	1.0119291444758134
2007-12-18 00:00:00	0.9677484228707081	0.9504258656658036	0.985009562318605
2007-12-19 00:00:00	0.9403438721217235	0.9222379615205434	0.9574276290525384
2007-12-20 00:00:00	0.9119821168161805	0.8937784245608273	0.9290232531468007
2007-12-21 00:00:00	0.8842652808839556	0.8660888366586152	0.9015676908944176
2007-12-22 00:00:00	0.8105677716315947	0.793042744512382	0.8284920380972727
2007-12-23 00:00:00	0.735954683775872	0.7181126968633358	0.7528135698539838
2007-12-24 00:00:00	0.6605952865712265	0.6429482136418775	0.6778036494598267
2007-12-25 00:00:00	0.5871671864251337	0.5686167795180459	0.6043258574501003
2007-12-26 00:00:00	0.5128327228029471	0.49531097620253445	0.5305575422902739
2007-12-27 00:00:00	0.43754105462420634	0.4208106258758308	0.45400234984164795
2007-12-28 00:00:00	0.33802339291106	0.32046036981226395	0.35476147439045497
2007-12-29 00:00:00	0.23945497075098238	0.22104637537948862	0.2564211316255855
2007-12-30 00:00:00	0.13997096998754183	0.12268410601065323	0.15608474079140683
2007-12-31 00:00:00	0.039740659875179385	0.02172832596634253	0.0568474058774195
2008-01-01 00:00:00	-0.05855835317862977	-0.0772615497046698	-0.04040968767616002
2008-01-02 00:00:00	-0.15384378341894675	-0.17265934406802363	-0.13731777832588138
2008-01-03 00:00:00	-0.2500864182158179	-0.267697705360649	-0.23359997674465235
2008-01-04 00:00:00	-0.3456841336393747	-0.3645009276189046	-0.3279267041906074
2008-01-05 00:00:00	-0.440332609509865	-0.45784484829990024	-0.4236012028951422
2008-01-06 00:00:00	-0.5358966639837189	-0.554015635746008	-0.5184439895237909
2008-01-07 00:00:00	-0.6322070278064922	-0.6506205053245584	-0.6146862369994879
2008-01-08 00:00:00	-0.6882350350978828	-0.7063144831588095	-0.6697191659387689
2008-01-09 00:00:00	-0.7451694058653657	-0.7633254303937342	-0.7273477358349946
2008-01-10 00:00:00	-0.8030609811894054	-0.820676369918302	-0.7851965057948784
2008-01-11 00:00:00	-0.8603076371401285	-0.8796195222265304	-0.8428581325905379
2008-01-12 00:00:00	-0.9166050535377871	-0.9344373671000304	-0.9000167180027123
2008-01-13 00:00:00	-0.9738180485388058	-0.9907367205583806	-0.9551198010505688
2008-01-14 00:00:00	-0.9811109981264734	-0.9994644034785761	-0.96452622456091
2008-01-15 00:00:00	-0.9864726506555864	-1.003787677575175	-0.96980023483073
2008-01-16 00:00:00	-0.992740666660794	-1.0105712337719865	-0.9740073023845438
2008-01-17 00:00:00	-0.9999658872225577	-1.0170479899692353	-0.9831774221783306
2008-01-18 00:00:00	-1.0065461884110036	-1.0235524937064173	-0.9898452766444303
2008-01-19 00:00:00	-0.959131694935536	-0.9777984542687616	-0.9406324204776021
2008-01-20 00:00:00	-0.9126327800634304	-0.9304743388034653	-0.8932544151748203
2008-01-21 00:00:00	-0.8668801745402483	-0.8845868967073671	-0.8503885068849619
2008-01-22 00:00:00	-0.8191962719585121	-0.8371803388877619	-0.8012914276255905
2008-01-23 00:00:00	-0.7724187328528719	-0.788399889754036	-0.754427519866467
2008-01-24 00:00:00	-0.7265983983037846	-0.7437632871560582	-0.7090344798695999
2008-01-25 00:00:00	-0.6378453214098672	-0.6556853370528256	-0.6194234939296687
2008-01-26 00:00:00	-0.5481430049628812	-0.5657871804611556	-0.5292010549314224
2008-01-27 00:00:00	-0.4593562671192584	-0.47674980823191826	-0.4429603240744902
2008-01-28 00:00:00	-0.3713158386245586	-0.3891009669479941	-0.35313575297893707
2008-01-29 00:00:00	-0.28134411307130575	-0.29848311902572294	-0.2639053597275138
2008-01-30 00:00:00	-0.18111026836981248	-0.19926935045671706	-0.16370260407258672
2008-01-31 00:00:00	-0.08183362822487607	-0.10097752524196398	-0.06475081179154385
2008-02-01 00:00:00	0.018087931293376373	0.0008337492504373263	0.03614811263327354
2008-02-02 00:00:00	0.1189587303646952	0.10013680494786374	0.136244409925191
2008-02-03 00:00:00	0.21891395083265164	0.20007863009605517	0.2356301159545301
2008-02-04 00:00:00	0.3181228619516844	0.30128188885638013	0.33599268254615083
2008-02-05 00:00:00	0.40143365797879754	0.38478354340683363	0.418517665002588
2008-02-06 00:00:00	0.48383809052981697	0.46651876647369467	0.5020743206017004
2008-02-07 00:00:00	0.5652853185242779	0.5483433136676445	0.5824550055580059
2008-02-08 00:00:00	0.6473774658920578	0.6302362948900979	0.6651554320861551
2008-02-09 00:00:00	0.7304188528128998	0.7119572932170068	0.747811611533823
2008-02-10 00:00:00	0.8125446611303833	0.7952683849653952	0.8310148893901594
2008-02-11 00:00:00	0.851858495581001	0.8354824504760456	0.8690733111142191
2008-02-12 00:00:00	0.8931036270901725	0.8741579148125072	0.9113334713518184
2008-02-13 00:00:00	0.9334423951232492	0.9168894201764625	0.9511055590869353
2008-02-14 00:00:00	0.972823958599771	0.9546096364660217	0.990310475785696
2008-02-15 00:00:00	1.0128504414496078	0.9959678887517303	1.029946654451888
2008-02-16 00:00:00	0.9991152951377077	0.980776627870392	1.0175064081153928
2008-02-17 00:00:00	0.9844645702224465	0.9673717336707173	1.0024906770779352
2008-02-18 00:00:00	0.9690675359582628	0.9528662355698712	0.9874188050015295
